filename,width,height,class,xmin,ymin,xmax,ymax
14_024_2_0042.bmp,512,512,Stenosis,150,99,180,122
14_031_4_0031.bmp,512,512,Stenosis,268,204,285,223
14_046_5_0066.bmp,512,512,Stenosis,347,157,357,172
14_010_6_0035.bmp,512,512,Stenosis,94,244,126,286
14_014_1_0015.bmp,512,512,Stenosis,163,118,203,151
14_084_7_0060.bmp,512,512,Stenosis,66,129,97,172
14_032_7_0041.bmp,512,512,Stenosis,248,184,259,204
14_084_6_0046.bmp,512,512,Stenosis,309,165,355,200
14_070_5_0042.bmp,512,512,Stenosis,66,168,100,193
14_007_5_0063.bmp,512,512,Stenosis,259,122,284,149
14_007_8_0077.bmp,512,512,Stenosis,294,120,325,147
14_026_2_0052.bmp,512,512,Stenosis,113,140,145,174
14_068_2_0032.bmp,512,512,Stenosis,153,176,180,207
14_039_4_0035.bmp,512,512,Stenosis,156,140,169,156
14_006_1_0050.bmp,512,512,Stenosis,323,297,373,382
14_007_3_0064.bmp,512,512,Stenosis,269,126,300,149
14_014_1_0032.bmp,512,512,Stenosis,145,105,199,138
14_084_6_0035.bmp,512,512,Stenosis,301,170,352,204
14_033_4_0027.bmp,512,512,Stenosis,256,96,275,115
14_095_1_0037.bmp,512,512,Stenosis,336,306,366,320
14_021_38_0015.bmp,512,512,Stenosis,145,331,198,350
14_024_5_0076.bmp,512,512,Stenosis,286,43,312,75
14_007_5_0092.bmp,512,512,Stenosis,275,142,298,167
14_033_4_0056.bmp,512,512,Stenosis,273,128,293,149
14_094_3_0060.bmp,512,512,Stenosis,201,118,223,156
14_018_6_0042.bmp,512,512,Stenosis,122,123,157,161
14_012_4_0028.bmp,512,512,Stenosis,156,84,177,111
14_040_5_0017.bmp,512,512,Stenosis,416,180,432,193
14_015_1_0015.bmp,512,512,Stenosis,109,81,166,121
14_021_1_0075.bmp,512,512,Stenosis,95,335,147,362
14_029_6_0083.bmp,512,512,Stenosis,78,250,101,267
14_050_8_0050.bmp,512,512,Stenosis,172,125,221,144
14_032_6_0074.bmp,512,512,Stenosis,296,180,313,208
14_019_5_0035.bmp,512,512,Stenosis,241,78,284,102
14_080_3_0024.bmp,512,512,Stenosis,215,212,245,233
14_057_2_0068.bmp,512,512,Stenosis,224,108,256,138
14_083_6_0040.bmp,512,512,Stenosis,127,150,158,173
14_029_5_0059.bmp,512,512,Stenosis,122,270,151,293
14_046_5_0077.bmp,512,512,Stenosis,355,138,371,151
14_006_1_0138.bmp,512,512,Stenosis,301,280,358,368
14_006_1_0077.bmp,512,512,Stenosis,304,277,367,367
14_051_5_0024.bmp,512,512,Stenosis,150,85,203,107
14_021_37_0034.bmp,512,512,Stenosis,197,405,254,431
14_087_1_0090.bmp,512,512,Stenosis,163,160,214,192
14_021_37_0019.bmp,512,512,Stenosis,187,408,239,431
14_006_1_0112.bmp,512,512,Stenosis,292,312,350,389
14_019_5_0034.bmp,512,512,Stenosis,231,85,275,109
14_057_3_0061.bmp,512,512,Stenosis,199,59,226,89
14_039_1_0037.bmp,512,512,Stenosis,156,80,175,103
14_016_1_0038.bmp,512,512,Stenosis,221,132,257,160
14_007_5_0082.bmp,512,512,Stenosis,247,128,277,152
14_075_4_0035.bmp,512,512,Stenosis,105,171,150,196
14_059_1_0060.bmp,512,512,Stenosis,232,225,293,258
14_021_16_0079.bmp,512,512,Stenosis,101,74,128,116
14_084_7_0032.bmp,512,512,Stenosis,51,158,76,188
14_029_2_0063.bmp,512,512,Stenosis,136,157,154,184
14_062_2_0037.bmp,512,512,Stenosis,154,122,190,153
14_053_1_0067.bmp,512,512,Stenosis,106,327,152,352
14_084_7_0059.bmp,512,512,Stenosis,57,126,83,165
14_062_5_0064.bmp,512,512,Stenosis,80,257,96,308
14_096_6_0067.bmp,512,512,Stenosis,153,138,217,161
14_075_5_0020.bmp,512,512,Stenosis,169,65,223,89
14_040_1_0031.bmp,512,512,Stenosis,265,173,274,191
14_006_1_0139.bmp,512,512,Stenosis,305,279,369,369
14_075_3_0021.bmp,512,512,Stenosis,95,232,122,275
14_033_4_0068.bmp,512,512,Stenosis,259,108,280,127
14_083_6_0042.bmp,512,512,Stenosis,133,151,158,178
14_039_7_0072.bmp,512,512,Stenosis,144,119,161,135
14_018_6_0030.bmp,512,512,Stenosis,154,133,193,170
14_081_3_0031.bmp,512,512,Stenosis,63,183,89,224
14_075_6_0016.bmp,512,512,Stenosis,177,101,247,120
14_040_5_0030.bmp,512,512,Stenosis,383,168,407,179
14_051_5_0027.bmp,512,512,Stenosis,134,85,197,104
14_088_1_0031.bmp,512,512,Stenosis,314,122,366,147
14_075_4_0060.bmp,512,512,Stenosis,113,220,159,235
14_007_3_0052.bmp,512,512,Stenosis,277,138,308,165
14_021_34_0033.bmp,512,512,Stenosis,335,98,369,128
