filename,width,height,class,xmin,ymin,xmax,ymax
orig_14_024_2_0042.bmp,512,512,Stenosis,150,99,180,122
aug1_hflip_14_024_2_0042.bmp,512,512,Stenosis,332,99,362,122
aug2_vflip_14_024_2_0042.bmp,512,512,Stenosis,150,390,180,413
aug3_brt_14_024_2_0042.bmp,512,512,Stenosis,150,99,180,122
orig_14_031_4_0031.bmp,512,512,Stenosis,268,204,285,223
aug1_hflip_14_031_4_0031.bmp,512,512,Stenosis,227,204,244,223
aug2_vflip_14_031_4_0031.bmp,512,512,Stenosis,268,289,285,308
aug3_brt_14_031_4_0031.bmp,512,512,Stenosis,268,204,285,223
orig_14_046_5_0066.bmp,512,512,Stenosis,347,157,357,172
aug1_hflip_14_046_5_0066.bmp,512,512,Stenosis,155,157,165,172
aug2_vflip_14_046_5_0066.bmp,512,512,Stenosis,347,340,357,355
aug3_brt_14_046_5_0066.bmp,512,512,Stenosis,347,157,357,172
orig_14_010_6_0035.bmp,512,512,Stenosis,94,244,126,286
aug1_hflip_14_010_6_0035.bmp,512,512,Stenosis,386,244,418,286
aug2_vflip_14_010_6_0035.bmp,512,512,Stenosis,94,226,126,268
aug3_brt_14_010_6_0035.bmp,512,512,Stenosis,94,244,126,286
orig_14_014_1_0015.bmp,512,512,Stenosis,163,118,203,151
aug1_hflip_14_014_1_0015.bmp,512,512,Stenosis,309,118,349,151
aug2_vflip_14_014_1_0015.bmp,512,512,Stenosis,163,361,203,394
aug3_brt_14_014_1_0015.bmp,512,512,Stenosis,163,118,203,151
orig_14_084_7_0060.bmp,512,512,Stenosis,66,129,97,172
aug1_hflip_14_084_7_0060.bmp,512,512,Stenosis,415,129,446,172
aug2_vflip_14_084_7_0060.bmp,512,512,Stenosis,66,340,97,383
aug3_brt_14_084_7_0060.bmp,512,512,Stenosis,66,129,97,172
orig_14_032_7_0041.bmp,512,512,Stenosis,248,184,259,204
aug1_hflip_14_032_7_0041.bmp,512,512,Stenosis,253,184,264,204
aug2_vflip_14_032_7_0041.bmp,512,512,Stenosis,248,308,259,328
aug3_brt_14_032_7_0041.bmp,512,512,Stenosis,248,184,259,204
